state,county_name,contest,office,district,candidate,party_detailed,magnitude,order
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Bill Hammon Eric Bader Unity Party,US PRESIDENT,FEDERAL,BILL HAMMON ERIC BADER,NA,1,544
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Ted Cruz,US PRESIDENT,FEDERAL,TED CRUZ,NA,1,545
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Bobby Jindal,US PRESIDENT,FEDERAL,BOBBY JINDAL,NA,1,546
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Valerie Green,US PRESIDENT,FEDERAL,VALERIE GREEN,NA,1,547
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Jeb Bush,US PRESIDENT,FEDERAL,JEB BUSH,NA,1,548
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Al Gore,US PRESIDENT,FEDERAL,AL GORE,NA,1,549
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Stephen Crosta,US PRESIDENT,FEDERAL,STEPHEN CROSTA,NA,1,550
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Black Lives Matter,US PRESIDENT,FEDERAL,BLACK LIVES MATTER,NA,1,551
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Self,US PRESIDENT,FEDERAL,SELF,NA,1,552
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Gene Sasse,US PRESIDENT,FEDERAL,GENE SASSE,NA,1,553
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Andrew Chalsen,US PRESIDENT,FEDERAL,ANDREW CHALSEN,NA,1,554
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Marc Rubio,US PRESIDENT,FEDERAL,MARC RUBIO,NA,1,555
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Barry Goldwater,US PRESIDENT,FEDERAL,BARRY GOLDWATER,NA,1,556
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Luke Bryan,US PRESIDENT,FEDERAL,LUKE BRYAN,NA,1,557
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Aliens,US PRESIDENT,FEDERAL,ALIENS,NA,1,558
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Thomas Edison,US PRESIDENT,FEDERAL,THOMAS EDISON,NA,1,559
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 George Washington,US PRESIDENT,FEDERAL,GEORGE WASHINGTON,NA,1,560
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Andrew Young,US PRESIDENT,FEDERAL,ANDREW YOUNG,NA,1,561
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Steve Saylor,US PRESIDENT,FEDERAL,STEVE SAYLOR,NA,1,562
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Gavin Newson,US PRESIDENT,FEDERAL,GAVIN NEWSON,NA,1,563
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 David Ayelord,US PRESIDENT,FEDERAL,DAVID AYELORD,NA,1,564
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 My Cat Sprinkles,US PRESIDENT,FEDERAL,MY CAT SPRINKLES,NA,1,565
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Brother Frank,US PRESIDENT,FEDERAL,BROTHER FRANK,NA,1,566
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Dr Anthony Fauci,US PRESIDENT,FEDERAL,DR ANTHONY FAUCI,NA,1,567
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Katt Williams,US PRESIDENT,FEDERAL,KATT WILLIAMS,NA,1,568
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Edward Snowden,US PRESIDENT,FEDERAL,EDWARD SNOWDEN,NA,1,569
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 No One,US PRESIDENT,FEDERAL,NO ONE,NA,1,570
