path,state,county_name,type,notes,build
data/raw/Maryland/Washington/cvr.csv,MARYLAND,WASHINGTON,delim,,
data/raw/Maryland/Wicomico/cvr.csv,MARYLAND,WICOMICO,delim,,
data/raw/Maryland/Worcester/cvr.csv,MARYLAND,WORCESTER,delim,,
data/raw/Michigan/Alcona,MICHIGAN,ALCONA,json,,
data/raw/Michigan/Alger/cvr.csv,MICHIGAN,ALGER,delim,,
data/raw/Michigan/Baraga,MICHIGAN,BARAGA,json,,no
data/raw/Michigan/Barry/cvr.csv,MICHIGAN,BARRY,delim,,
data/raw/Michigan/Bay/cvr.csv,MICHIGAN,BAY,delim,,
data/raw/Michigan/Branch/cvr.csv,MICHIGAN,BRANCH,delim,,
data/raw/Michigan/Charlevoix,MICHIGAN,CHARLEVOIX,json,,
data/raw/Michigan/Cheboygan/cvr.csv,MICHIGAN,CHEBOYGAN,delim,,
data/raw/Michigan/Chippewah/cvr.csv,MICHIGAN,CHIPPEWA,delim,,
data/raw/Michigan/Clinton,MICHIGAN,CLINTON,xml,,
data/raw/Michigan/Delta/cvr.csv,MICHIGAN,DELTA,delim,,no
data/raw/Michigan/Dickenson/cvr.csv,MICHIGAN,DICKINSON,delim,,
data/raw/Michigan/Eaton,MICHIGAN,EATON,xml,,
data/raw/Michigan/Emmett/cvr.csv,MICHIGAN,EMMET,delim,,
data/raw/Michigan/Gladwin/cvr.csv,MICHIGAN,GLADWIN,delim,,
data/raw/Michigan/Hillsdale,MICHIGAN,HILLSDALE,xml,,
data/raw/Michigan/Iosco,MICHIGAN,IOSCO,json,,
data/raw/Michigan/Iron/cvr.csv,MICHIGAN,IRON,delim,,
data/raw/Michigan/Isabella/Isabella Co MI Nov 2020 Gen Election.csv,MICHIGAN,ISABELLA,delim,,
data/raw/Michigan/Kalamazoo/cvr.csv,MICHIGAN,KALAMAZOO,delim,,
data/raw/Michigan/Leelanau/cvr.csv,MICHIGAN,LEELANAU,delim,,
data/raw/Michigan/Livingston,MICHIGAN,LIVINGSTON,xml,,
data/raw/Michigan/Macomb/cvr.csv,MICHIGAN,MACOMB,delim,,
data/raw/Michigan/Manistee,MICHIGAN,MANISTEE,json,,
data/raw/Michigan/Marquette/cvr.csv,MICHIGAN,MARQUETTE,delim,,
data/raw/Michigan/Mason/cvr.csv,MICHIGAN,MASON,delim,,
data/raw/Michigan/Missaukee,MICHIGAN,MISSAUKEE,json,,
data/raw/Michigan/Monroe/cvr.csv,MICHIGAN,MONROE,delim,,
